position,rec_id,year,country,commodity,location,fac_name,fac_type,dmslat,dmslong,latitude,longitude,precision,mm,op_comp,maininvest,othinvest,status,capacity,units,notes,cite
1,5028,2003,Algeria,ammonia,"Alzofert, Arzew",nan,Plant,"35° 51' 06"" ","000° 19' 17""",35.852,-0.321,,,Le groupe ASMIDAL,nan,nan,closed,,t / yr,,851
2,5029,2003,Algeria,ammonia,"Fertial, Annaba",nan,Plant,"36° 54' 00"" ","007° 46' 00""",36.9,7.767,,,Le groupe ASMIDAL,nan,nan,active,,t / yr,,851
4,5031,2003,Algeria,gold,Tirek,nan,Mine,,,21.267,2.783,,S,Enterprise D'Exploitation des Mines D'or (ENOR),nan,nan,active,800.0,t / yr,,851
5,5032,2003,Algeria,barite,"Ain Mimoun, Boucaid, Mellal",nan,Mine,"35° 53' 28"" ","001° 37' 11""",35.891,1.62,,,"Société des Mines de Baryte d'Algérie s.p.a. (Entreprise Nationale des Produits Miniers Non Ferreux & des Substances Utiles, s.p.a.)",nan,nan,active,,t / yr,,851
6,5033,2003,Algeria,bentonite,"Maghnia, M'Zila areas",nan,Quarry,"34° 50' 50"" ","001° 43' 43""",34.847,-1.729,,S,"Société des Bentonites d'Algérie s.p.a. (Entreprise Nationale des Produits Miniers Non Ferreux & des Substances Utiles, s.p.a.)",nan,nan,active,,t / yr,,851
7,5034,2003,Algeria,bentonite,Mostaganem,nan,Plant,"35° 56' 00"" ","000° 05' 25""",35.933,0.09,,,"Société des Bentonites d'Algérie s.p.a. (Entreprise Nationale des Produits Miniers Non Ferreux & des Substances Utiles, s.p.a.)",nan,nan,active,,t / yr,,851
8,5035,2003,Algeria,bentonite,"Roussel, Boughrara",nan,Quarry,"37° 00' 35"" ","006° 23' 01""",37.01,6.384,,S,"Société des Bentonites d'Algérie s.p.a. (Entreprise Nationale des Produits Miniers Non Ferreux & des Substances Utiles, s.p.a.)",nan,nan,active,,t / yr,,851
9,5036,2003,Algeria,cadmium,Ghazaouet,nan,nan,"35° 06' 00"" ","001° 51' 00""",35.1,-1.85,,,"Société Algérienne du Zinc (Enterprise Nationale de Métallurgie et de Transformation des Métaux Non Ferreux, s.p.a., 100%)",nan,nan,active,200.0,t / yr,,851
10,5037,2003,Algeria,cement,Aïn Touta,nan,nan,"35° 22' 36"" ","005° 53' 46""",35.374,5.896,,,"Société des Ciments d'Aïn-Touta (Enterprise des Ciments et Derives de l'Est, 100%)",nan,nan,active,,t / yr,,851
11,5038,2003,Algeria,cement,Aïn-Kébira,nan,nan,"34° 50' 00"" ","000° 06' 00""",34.833,-0.1,,,"Société des Ciments d'Aïn-Kébira (Enterprise des Ciments et Derives de l'Est, 100%)",nan,nan,active,,t / yr,,851
12,5039,2003,Algeria,cement,Bekkouche,nan,nan,"36° 41' 55"" ","007° 18' 24""",36.699,7.307,,,"Société des Ciments de Tébessa (Enterprise des Ciments et Derives de l'Est, 100%)",nan,nan,active,,t / yr,,851
13,5040,2003,Algeria,cement,Beni-Saf,nan,nan,"35° 18' 13"" ","001° 22' 51""",35.304,-1.381,,,Entreprise des Ciments et Dérivés de l'Ouest,nan,nan,active,,t / yr,,851
14,5041,2003,Algeria,cement,Chlef,nan,nan,"36° 09' 53"" ","001° 20' 05""",36.165,1.335,,,Entreprise des Ciments et Dérivés d'Ech,nan,nan,active,,t / yr,,851
15,5042,2003,Algeria,cement,Hamma-Bouziane,nan,nan,"35° 27' 00"" ","001° 27' 00""",35.45,1.45,,,"Société des Ciments de Hamma-Bouziane (Enterprise des Ciments et Derives de l'Est, 100%)",nan,nan,active,,t / yr,,851
16,5043,2003,Algeria,cement,Meftah,nan,nan,"36° 37' 10"" ","003° 13' 31""",36.619,3.225,,,Entreprise des Ciments et Dérivés du Centre,nan,nan,active,,t / yr,,851
17,5044,2003,Algeria,cement,M'Sila,nan,nan,"35° 42' 21"" ","004° 32' 31""",35.706,4.542,,,"Algerian Cement Co. (Orascom Construction Industries S.A., 100%)1",nan,nan,active,,t / yr,,851
19,5046,2003,Algeria,cement,Saïda,nan,nan,"34° 50' 00"" ","000° 09' 00""",34.833,0.15,,,Entreprise des Ciments et Dérivés de l'Ouest,nan,nan,active,,t / yr,,851
21,5048,2003,Algeria,cement,Tébessa,nan,nan,"35° 24' 15"" ","008° 07' 27""",35.404,8.124,,,"Société des Ciments de Tébessa (Enterprise des Ciments et Derives de l'Est, 100%)",nan,nan,active,,t / yr,,851
22,5049,2003,Algeria,cement,Zahana,nan,nan,"35° 31' 15"" ","000° 24' 29""",35.521,-0.408,,,Entreprise des Ciments et Dérivés de l'Ouest,nan,nan,active,,t / yr,,851
23,5050,2003,Algeria,coke,El Hadjar,nan,nan,"36° 48' 17"" ","007° 44' 18""",36.805,7.738,,,"Ispat Annaba s.p.a. (Mittal Steel Co., 70%)",nan,nan,active,,t / yr,,851
24,5051,2003,Algeria,diatomite,"Tahalait, Sig",nan,Quarry,"35° 31' 40"" ","000° 11' 43""",35.528,-0.195,,S,"Société des Diatomites d'Algérie s.p.a. (Entreprise Nationale des Produits Miniers Non Ferreux & des Substances Utiles, s.p.a.)",nan,nan,active,,t / yr,,851
25,5052,2003,Algeria,iron,Bou Khadra,nan,Mine,,,35.75,8.05,,,Enterprise Nationale de Fer et de Phosphates (FERPHOS),nan,nan,active,,t / yr,,851
26,5053,2003,Algeria,iron,Ouenza,nan,Mine,,,35.95,8.12,,,Enterprise Nationale de Fer et de Phosphates (FERPHOS),nan,nan,active,,t / yr,,851
27,5054,2003,Algeria,gypsum,Chettaba,nan,nan,"36° 21' 45"" ","006° 34' 06""",36.363,6.568,,,"Unité Chaux de Chettaba (Société des Produits Dérivés de l'Est, 100%)",nan,nan,active,,t / yr,,851
28,5055,2003,Algeria,mercury,"Ismail, Skikda area; M'Rasma",nan,Mine,,,36.88,7.9,,,L'Entreprise Nationale et des Produits Miniers Non-ferreux des Substances Utiles (ENOF),nan,nan,closed,,t / yr,,851
30,5057,2003,Algeria,phosphate,Djebel Onk,nan,Mine,,,34.717,8.0,,S,Enterprise Nationale de Fer et de Phosphates (FERPHOS),nan,nan,active,,t / yr,,851
31,5058,2003,Algeria,phosphate,El-Kouif,nan,Mine,,,35.5,8.32,,,Enterprise Nationale de Fer et de Phosphates (FERPHOS),nan,nan,active,,t / yr,,851
33,5060,2003,Algeria,pozzolana,Beni-Saf,nan,Mine,,,35.3,-1.37,,,Enterprise Nationale de Fer et de Phosphates (FERPHOS),nan,nan,active,,t / yr,,851
34,5061,2003,Algeria,salt - refined,"El Outaya, Biskra",nan,Refinery,"34° 51' 00"" ","005° 44' 00""",34.85,5.733,,,Enterprise Nationale d'Exploitation des Carrières de Sels Industriels et Domestiques et Commercialisation des Sels s.p.a,nan,nan,active,,t / yr,,851
35,5062,2003,Algeria,salt - rock,"El Outaya, Biskra",nan,nan,"34° 51' 00"" ","005° 44' 00""",34.85,5.733,,,Enterprise Nationale d'Exploitation des Carrières de Sels Industriels et Domestiques et Commercialisation des Sels s.p.a,nan,nan,active,,t / yr,,851
36,5063,2003,Algeria,silicon,Béthioua,nan,nan,"35° 48' 09"" ","000° 15' 40""",35.803,-0.261,,S,Enterprise Nationale d'Exploitation des Carrières de Sels Industriels et Domestiques et Commercialisation des Sels s.p.a,nan,nan,active,,t / yr,,851
